,brand,model_name,screen_size (sm),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
0,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
1,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
2,ASUS,ASUS Vivobook 15,15.6 Inches,"41,990",8 GB,512 GB,Ryzen 7,Windows 11 Home,3.9 out of 5 stars,42 ratings,Integrated
3,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
4,HP,Hp Laptop,14 Inches,"1,23,900",32 GB,1 TB,Intel Core Ultra 7,Windows 11 Home,No rating,no rating_review,Dedicated
5,HP,HP Laptop,39.6 Centimetres,"30,990",8 GB,512 GB,Core i3,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
6,acer,Aspire Lite,15.6 Inches,"27,990",16 GB,512 GB,Others,Windows 11 Home,3.9 out of 5 stars,"1,781 ratings",Integrated
7,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
8,HP,HP Laptop,15.6 Inches,"50,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
9,acer,Acer ALG,15.6 Inches,"55,990",16 GB,512 GB,Core i5,Windows 11 Home,3.9 out of 5 stars,172 ratings,Dedicated
10,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
11,Dell,Inspiron,15.6 Inches,"28,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.1 out of 5 stars,121 ratings,Integrated
12,HP,HP Laptop,39.6 Centimetres,"55,990",16 GB,1 TB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
13,HP,HP Laptop,15.6 Inches,"59,990",16 GB,1 TB,Intel Core Ultra 5,Windows 11 Home,4.0 out of 5 stars,"1,643 ratings",Integrated
14,HP,HP Laptop,39.6 Centimetres,"62,990",16 GB,512 GB,no cpu_model,Windows 11 Home,3.7 out of 5 stars,398 ratings,Dedicated
15,acer,Aspire 3,15.6 Inches,"18,990",8 GB,256 GB,Celeron N,Windows 11 Home,3.4 out of 5 stars,643 ratings,Integrated
16,HP,HP Laptop,39.6 Centimetres,"36,490",8 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
17,ASUS,ASUS Vivobook 15,15.6 Inches,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,4.0 out of 5 stars,355 ratings,Integrated
18,HP,HP 15,15.6 Inches,"22,790",8 GB,256 GB,Athlon,Windows 11 Home,4.6 out of 5 stars,3 ratings,Integrated
19,acer,Aspire Lite,15.6 Inches,"23,990",8 GB,512 GB,Ryzen 3 5300U,Windows 11 Home,3.9 out of 5 stars,"1,781 ratings",Integrated
20,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
21,Lenovo,IdeaPad Slim 3,15.6 Inches,"45,490",16 GB,512 GB,Core i5,"Windows 11 Home 64, English",4.2 out of 5 stars,28 ratings,Integrated
22,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
23,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
24,no brand,no model_name,no screen_size,649,no ram,no storage,no cpu_model,no operating_system,3.9 out of 5 stars,"4,094 ratings",No description
25,acer,Aspire Lite,15.6 Inches,"29,990",16 GB,512 GB,Ryzen 5,Windows 11 Home,3.9 out of 5 stars,"1,781 ratings",Integrated
26,acer,Aspire Lite,15.6 Inches,"37,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,48 ratings,Integrated
27,HP,HP Laptop,17.3 Inches,"62,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,252 ratings,Integrated
28,FUTOPIA,APEX,14.1 Inches,"16,870",8 GB,512 GB,Celeron N4020,Window Home 11,3.8 out of 5 stars,72 ratings,Integrated
29,ASUS,ASUS Vivobook Go 14,14 Inches,"28,850",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.0 out of 5 stars,111 ratings,Integrated
30,HP,HP Laptop,15.6 Inches,"66,990",16 GB,512 GB,Ryzen 7,Windows 11 Home,3.8 out of 5 stars,229 ratings,Dedicated
31,Lenovo,IdeaPad Slim 3,no screen_size,"59,990",16 GB,no storage,Others,Windows 11 Home,4.0 out of 5 stars,247 ratings,Integrated
32,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
33,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
34,ASUS,ASUS Vivobook 16,16 Inches,"65,990",16 GB,512 GB,Intel Core Ultra 5,Windows 11 Home,4.4 out of 5 stars,38 ratings,Integrated
35,ASUS,ASUS Vivobook 15,15.6 Inches,"32,990",8 GB,512 GB,Core i3,Windows 11 Home,4.1 out of 5 stars,186 ratings,Integrated
36,Dell,Inspiron,15.6 Inches,"39,990",16 GB,512 GB,Ryzen 5,Windows 11 Home,4.1 out of 5 stars,79 ratings,Integrated
37,acer,Aspire Lite,15.6 Inches,"30,990",8 GB,512 GB,Core i3,Windows 11 Home,3.8 out of 5 stars,501 ratings,Integrated
38,HP,HP Laptop,35.6 Centimetres,"68,990",16 GB,1 TB,Core i5,Windows 11 Home,3.7 out of 5 stars,252 ratings,Integrated
39,Lenovo,IdeaPad Slim 3,15.6 Inches,"45,490",16 GB,512 GB,Core i5,"Windows 11 Home 64, English",4.2 out of 5 stars,28 ratings,Integrated
40,ASUS,Chromebook,14 Inches,"20,990",8 GB,128 GB,Celeron,Chrome OS,3.6 out of 5 stars,16 ratings,Integrated
41,ASUS,ASUS TUF Gaming A15,15.6 Inches,"61,990",16 GB,no storage,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,481 ratings,Dedicated
42,HP,14-he0015QU,35.6 Centimetres,"65,990",16 GB,1 TB,Snapdragon,Windows 11 Home,3.9 out of 5 stars,45 ratings,Integrated
43,Apple,MacBook Pro,14 Inches,"2,01,990",24 GB,no storage,Apple M4,Mac OS,4.1 out of 5 stars,7 ratings,Integrated
44,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
45,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
46,Walker,NU14A2,14.1 Inches,"12,190",4 GB,128 GB,Celeron N4020,Windows 11 Home,3.2 out of 5 stars,177 ratings,Integrated
47,HP,HP Laptop,39.6 Centimetres,"68,990",16 GB,512 GB,Core i5 Family,Windows 11 Home,3.7 out of 5 stars,398 ratings,Dedicated
48,Lenovo,Lenovo V15,15.6 Inches,"34,350",16 GB,512 GB,Ryzen 5,Windows 11,4.0 out of 5 stars,224 ratings,Integrated
49,acer,Aspire 3,15.6 Inches,"21,990",8 GB,512 GB,Others,Windows 11 Home,3.4 out of 5 stars,643 ratings,Integrated
50,ASUS,TUF Gaming F15,15.6 Inches,"62,990",,512 GB,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,481 ratings,Dedicated
